,timestamp,question,x,y,id,group_size,gaze_c
10063,33471,1,281,475,1130201,3,0
10073,33501,1,251,464,1130201,3,0
10083,33542,1,273,486,1130201,3,0
10093,33572,1,252,454,1130201,3,0
10103,33603,1,285,405,1130201,3,0
10113,33643,1,269,405,1130201,3,0
10123,33674,1,312,433,1130201,3,0
10133,33704,1,292,420,1130201,3,0
10143,33735,1,320,452,1130201,3,0
10153,33775,1,315,420,1130201,3,0
10163,33806,1,290,545,1130201,3,0
10173,33846,1,316,569,1130201,3,0
10183,33877,1,337,584,1130201,3,0
10193,33908,1,316,566,1130201,3,0
10203,33938,1,300,576,1130201,3,0
10213,33969,1,344,576,1130201,3,0
10223,33999,1,348,610,1130201,3,0
10233,34050,1,292,532,1130201,3,0
18962,63111,2,961,415,1130201,3,1
18972,63152,2,960,438,1130201,3,1
18982,63182,2,918,394,1130201,3,1
18992,63213,2,974,441,1130201,3,1
19002,63253,2,957,442,1130201,3,1
19012,63283,2,983,433,1130201,3,1
19022,63314,2,941,439,1130201,3,1
19033,63344,2,939,445,1130201,3,1
19043,63384,2,598,516,1130201,3,1
19053,63425,2,584,484,1130201,3,1
19063,63455,2,584,468,1130201,3,1
19073,63485,2,580,487,1130201,3,1
19083,63515,2,586,481,1130201,3,1
19093,63546,2,568,505,1130201,3,1
19103,63576,2,578,514,1130201,3,1
19113,63627,2,518,488,1130201,3,1
19123,63658,2,508,530,1130201,3,1
19133,63689,2,511,513,1130201,3,1
19143,63720,2,506,472,1130201,3,1
19153,63750,2,408,489,1130201,3,1
19163,63780,2,363,450,1130201,3,1
19173,63811,2,406,545,1130201,3,1
19183,63862,2,386,489,1130201,3,1
19193,63892,2,349,521,1130201,3,1
19203,63922,2,378,496,1130201,3,1
19213,63953,2,369,509,1130201,3,1
19223,63983,2,330,502,1130201,3,1
19233,64013,2,331,458,1130201,3,1
19243,64064,2,329,489,1130201,3,1
19253,64095,2,313,494,1130201,3,1
9953,33109,1,967,473,1130202,3,0
9963,33140,1,973,479,1130202,3,0
9973,33192,1,970,478,1130202,3,0
9983,33223,1,971,475,1130202,3,0
9993,33254,1,964,471,1130202,3,0
10003,33285,1,972,464,1130202,3,0
10013,33316,1,973,465,1130202,3,0
10024,33347,1,973,477,1130202,3,0
10034,33378,1,977,468,1130202,3,0
10044,33409,1,1078,495,1130202,3,0
10054,33440,1,1191,534,1130202,3,0
